stature,weightkg,chestbreadth
1683,661,289
1613,658,269
1572,634,251
1584,480,252
1706,660,266
1620,601,273
1640,546,237
1711,1166,336
1641,793,267
1567,454,248
1629,499,236
1479,358,220
1663,700,260
1749,770,249
1592,649,267
1591,550,261
1710,875,305
1684,768,294
1625,763,283
1666,650,278
1576,555,250
1685,755,264
1629,548,248
1637,705,272
1597,548,257
1676,763,278
1672,784,289
1707,698,269
1649,650,261
1615,794,251
1629,897,311
1615,525,237
1537,772,274
1663,657,258
1582,537,247
1499,667,252
1771,833,295
1545,599,283
1603,649,261
1580,788,312
1608,752,294
1561,643,273
1642,613,271
1600,847,271
1591,687,257
1697,697,282
1691,602,260
1563,631,263
1598,952,300
1631,513,259
1648,694,275
1496,509,242
1522,520,228
1769,889,287
1761,785,264
1618,678,276
1612,644,291
1653,657,283
1598,661,248
1770,925,306
1566,611,251
1668,611,266
1614,797,286
1673,682,302
1588,489,232
1534,669,259
1490,617,247
1611,706,275
1599,611,261
1645,662,288
1571,532,258
1657,616,262
1641,737,278
1710,657,258
1674,671,288
1561,831,294
1664,866,277
1743,1054,319
1681,920,299
1498,617,254
1595,772,275
1771,777,301
1585,802,300
1819,953,270
1683,870,299
1686,730,273
1703,877,285
1707,823,285
1678,831,292
1646,599,259
1676,725,273
1703,630,240
1609,623,238
1636,821,292
1625,624,249
1615,567,249
1603,675,285
1641,623,246
1697,644,291
1571,626,233
1548,713,266
1633,630,264
1667,820,299
1584,762,283
1642,697,262
1736,910,298
1671,801,283
1595,683,268
1716,769,280
1574,601,265
1610,821,277
1643,842,253
1697,791,279
1501,575,253
1632,568,258
1654,720,286
1571,521,237
1596,689,287
1589,652,271
1650,827,310
1611,662,275
1632,715,280
1729,973,332
1533,450,219
1611,504,240
1650,577,232
1473,562,254
1700,728,263
1692,722,285
1611,560,233
1734,824,278
1692,825,282
1647,995,278
1599,988,315
1614,815,290
1549,723,258
1634,736,275
1760,698,285
1683,766,307
1618,651,262
1565,518,248
1592,549,255
1636,576,265
1538,583,273
1648,670,244
1645,631,253
1623,627,265
